Text,Size,Color,Angle,Font,Repeat,URL
dog,98487,Random,Random,Random,No,
cat,60516,Random,Random,Random,No,
use,59394,Random,Random,Random,No,
one,55315,Random,Random,Random,No,
product,42423,Random,Random,Random,No,
work,42329,Random,Random,Random,No,
out,41357,Random,Random,Random,No,
love,40135,Random,Random,Random,No,
up,38823,Random,Random,Random,No,
very,37770,Random,Random,Random,No,
food,32829,Random,Random,Random,No,
time,29027,Random,Random,Random,No,
good,28646,Random,Random,Random,No,
great,27695,Random,Random,Random,No,
toy,27192,Random,Random,Random,No,
well,25966,Random,Random,Random,No,
more,25693,Random,Random,Random,No,
water,22162,Random,Random,Random,No,
even,21447,Random,Random,Random,No,
much,21035,Random,Random,Random,No,
small,20596,Random,Random,Random,No,
buy,20592,Random,Random,Random,No,
really,20456,Random,Random,Random,No,
go,20417,Random,Random,Random,No,
day,19666,Random,Random,Random,No,
make,19287,Random,Random,Random,No,
seem,18771,Random,Random,Random,No,
littl,18659,Random,Random,Random,No,
size,18542,Random,Random,Random,No,
now,18015,Random,Random,Random,No,
two,17768,Random,Random,Random,No,
bought,17286,Random,Random,Random,No,
put,17094,Random,Random,Random,No,
eat,16845,Random,Random,Random,No,
over,16720,Random,Random,Random,No,
last,16506,Random,Random,Random,No,
back,16455,Random,Random,Random,No,
treat,16333,Random,Random,Random,No,
look,16247,Random,Random,Random,No,
keep,16134,Random,Random,Random,No,
still,16094,Random,Random,Random,No,
tank,15994,Random,Random,Random,No,
year,15675,Random,Random,Random,No,
need,15573,Random,Random,Random,No,
month,15192,Random,Random,Random,No,
litter,15140,Random,Random,Random,No,
chew,15079,Random,Random,Random,No,
first,14901,Random,Random,Random,No,
thing,14873,Random,Random,Random,No,
box,14850,Random,Random,Random,No,
made,14663,Random,Random,Random,No,
purchase,14579,Random,Random,Random,No,
give,14032,Random,Random,Random,No,
better,13618,Random,Random,Random,No,
recommend,13407,Random,Random,Random,No,
gets,13247,Random,Random,Random,No,
try,13195,Random,Random,Random,No,
clean,13098,Random,Random,Random,No,
price,13070,Random,Random,Random,No,
think,12881,Random,Random,Random,No,
way,12795,Random,Random,Random,No,
ball,12703,Random,Random,Random,No,
week,12694,Random,Random,Random,No,
filter,12606,Random,Random,Random,No,
around,12586,Random,Random,Random,No,
old,12442,Random,Random,Random,No,
pet,12370,Random,Random,Random,No,
again,12295,Random,Random,Random,No,
order,12156,Random,Random,Random,No,
fish,12110,Random,Random,Random,No,
puppy,12041,Random,Random,Random,No,
fit,12035,Random,Random,Random,No,
smell,11996,Random,Random,Random,No,
few,11353,Random,Random,Random,No,
larg,11197,Random,Random,Random,No,
take,11050,Random,Random,Random,No,
want,10987,Random,Random,Random,No,
bag,10861,Random,Random,Random,No,
problem,10818,Random,Random,Random,No,
tri,10805,Random,Random,Random,No,
long,10768,Random,Random,Random,No,
come,10740,Random,Random,Random,No,
play,10691,Random,Random,Random,No,
befor,10665,Random,Random,Random,No,
review,10580,Random,Random,Random,No,
know,10442,Random,Random,Random,No,
help,10376,Random,Random,Random,No,
sure,10237,Random,Random,Random,No,
big,10211,Random,Random,Random,No,
never,10141,Random,Random,Random,No,
down,10115,Random,Random,Random,No,
easy,10047,Random,Random,Random,No,
quality,9962,Random,Random,Random,No,
start,9921,Random,Random,Random,No,
see,9850,Random,Random,Random,No,
enough,9766,Random,Random,Random,No,
return,9561,Random,Random,Random,No,
differ,9539,Random,Random,Random,No,
